,start station name,counts
304,E 110 St & Madison Ave,3324
305,E 114 St & 1 Ave,1174
306,E 115 St & Lexington Ave,1594
307,E 115 St & Madison Ave,1105
308,E 116 St & 2 Ave,1099
309,E 118 St & 1 Ave,1546
310,E 118 St & 3 Ave,1405
311,E 118 St & Madison Ave,1306
312,E 118 St & Park Ave,566
313,E 12 St & 3 Ave,15014
314,E 12 St & Avenue B,3332
315,E 123 St & Lexington Ave,1423
316,E 128 St & Madison Ave,1110
317,E 13 St & Avenue A,12656
318,E 15 St & 3 Ave,12891
319,E 16 St & 5 Ave,13979
320,E 16 St & Irving Pl,9062
321,E 17 St & Broadway,26386
322,E 19 St & 3 Ave,9504
323,E 2 St & 2 Ave,10850
324,E 2 St & Avenue A,10266
325,E 2 St & Avenue B,10440
326,E 2 St & Avenue C,6053
327,E 20 St & 2 Ave,12891
328,E 20 St & FDR Drive,13446
329,E 20 St & Park Ave,11881
330,E 23 St & 1 Ave,13894
331,E 24 St & Park Ave S,18842
332,E 25 St & 1 Ave,9543
333,E 25 St & 2 Ave,14365
334,E 27 St & 1 Ave,9620
335,E 30 St & Park Ave S,10620
336,E 31 St & 3 Ave,10693
337,E 32 St & Park Ave,14911
338,E 33 St & 1 Ave,13743
339,E 33 St & 5 Ave,12028
340,E 35 St & 3 Ave,7162
341,E 39 St & 2 Ave,13359
342,E 39 St & 3 Ave,10614
343,E 4 St & 2 Ave,11654
344,E 41 St & Madison Ave,11439
345,E 43 St & 5 Ave,8851
346,E 44 St & 2 Ave,5901
347,E 45 St & 3 Ave,7813
348,E 47 St & 1 Ave,4213
349,E 47 St & 2 Ave,8112
350,E 47 St & Park Ave,18640
351,E 48 St & 3 Ave,6513
352,E 48 St & 5 Ave,13608
353,E 5 St & Avenue C,5344
354,E 51 St & 1 Ave,5082
355,E 51 St & Lexington Ave,6698
356,E 52 St & 2 Ave,6804
357,E 53 St & 3 Ave,7591
358,E 53 St & Madison Ave,7581
359,E 55 St & 2 Ave,3392
360,E 55 St & 3 Ave,8070
361,E 55 St & Lexington Ave,5707
362,E 58 St & 1 Ave,6198
363,E 58 St & 3 Ave,9672
364,E 58 St & Madison Ave,6052
365,E 59 St & Madison Ave,6109
366,E 6 St & Avenue B,9422
367,E 6 St & Avenue D,5353
368,E 60 St & York Ave,2593
369,E 65 St & 2 Ave,4186
370,E 66 St & Madison Ave,2084
371,E 67 St & Park Ave,2638
372,E 68 St & 3 Ave,3396
373,E 68 St & Madison Ave,2723
374,E 7 St & Avenue A,14647
375,E 71 St & 2 Ave,3497
376,E 72 St & Park Ave,3614
377,E 72 St & York Ave,8172
378,E 74 St & 1 Ave,6296
379,E 75 St & 3 Ave,3871
380,E 76 St & Park Ave,3987
381,E 77 St & 3 Ave,3389
382,E 78 St & 2 Ave,3297
383,E 81 St & 2 Ave,3619
384,E 81 St & 3 Ave,3819
385,E 81 St & Park Ave,1565
386,E 81 St & York Ave,4164
387,E 82 St & East End Ave,2965
388,E 84 St & 1 Ave,4763
389,E 84 St & Park Ave,3617
390,E 85 St & 3 Ave,8888
391,E 85 St & York Ave,3115
392,E 88 St & 1 Ave,4522
393,E 88 St & Park Ave,2776
394,E 89 St & 3 Ave,3579
395,E 89 St & York Ave,3169
396,E 9 St & Avenue C,9711
397,E 91 St & 2 Ave,4935
398,E 91 St & Park Ave,3292
399,E 93 St & 2 Ave,2526
400,E 97 St & 3 Ave,1204
401,E 97 St & Madison Ave,3875
402,E 98 St & Park Ave,1169
403,East End Ave & E 86 St,1599
404,Eastern Pkwy & Franklin Ave,3323
405,Eastern Pkwy & Washington Ave,1653
406,Eckford St & Engert Ave,1314
407,Emerson Pl & Myrtle Ave,3450
408,FDR Drive & E 35 St,8623
409,Flushing Ave & Vanderbilt Ave,3390
410,Forsyth St & Broome St,11746
411,Forsyth St & Canal St,9507
412,Franklin Ave & Empire Blvd,2600
413,Franklin Ave & Myrtle Ave,1085
414,Franklin Ave & St Marks Ave,1654
415,Franklin St & Dupont St,2647
416,Franklin St & W Broadway,6376
417,Frederick Douglass Blvd & W 112 St,3804
418,Frederick Douglass Blvd & W 115 St,2473
419,Frederick Douglass Blvd & W 117 St,4526
420,Frederick Douglass Blvd & W 129 St,1210
421,Front St & Gold St,2661
422,Front St & Maiden Ln,5484
423,Front St & Washington St,6504
424,Frost St & Meeker St,1088
425,Fulton St & Adams St,6940
426,Fulton St & Broadway,10533
427,Fulton St & Clermont Ave,1794
428,Fulton St & Grand Ave,2769
429,Fulton St & Rockwell Pl,3107
430,Fulton St & Utica Ave,1446
431,Fulton St & Waverly Ave,3507
432,Fulton St & William St,6442
433,Gansevoort St & Hudson St,13568
434,Garfield Pl & 8 Ave,2638
435,Gold St & Frankfort St,3101
436,Graham Ave & Conselyea St,5000
437,Graham Ave & Grand St,2397
438,Graham Ave & Herbert St,1435
439,Graham Ave & Withers St,2157
440,Grand Army Plaza & Central Park S,17381
441,Grand Army Plaza & Plaza St West,4734
442,Grand Ave & Bergen St,2472
443,Grand St & Elizabeth St,16675
444,Grand St & Greene St,7724
445,Grand St & Havemeyer St,4363
446,Great Jones St,18118
447,Greene Ave & Nostrand Ave,1448
448,Greene Ave & Throop Ave,1277
449,Greenpoint Ave & Manhattan Ave,4290
450,Greenwich Ave & Charles St,10599
451,Greenwich St & W Houston St,11845
452,Halsey St & Tompkins Ave,1377
453,Hancock St & Bedford Ave,1700
454,Handlebar @ Gowanus,2
455,Hanson Pl & Ashland Pl,11714
456,Harrison St & Hudson St,4059
457,Henry St & Atlantic Ave,4929
458,Henry St & Bay St,297
459,Henry St & Degraw St,4115
460,Henry St & Grand St,8084
461,Henry St & Poplar St,2729
462,Henry St & W 9 St,546
463,Henry St & W 9 St (OLD),94
464,Hicks St & Montague St,5444
465,Hope St & Union Ave,3314
466,Howard St & Centre St,9515
467,Hoyt St & Warren St,589
